extension/base name - best guess,RVI20,"RVA20 
(64 only)","RVA20 
(64 only)","RVA22 
(64 only)","RVA22 
(64 only)",RVI23,RVA23 (64 only),RVA23 (64 only),RVB23 (64 only),RVB23 (64 only)
Mode,,U,S,U,S,U,U,S,U,S
A,o,m,m,m,m,o,m,m,m,m
B,n,n,n,m,m,o,m,m,m,m
C,o,m,m,m,m,o,m,m,m,m
D,o,m,m,m,m,o,m,m,m,m
F,o,m,m,m,m,o,m,m,m,m
H,n,n,n,n,o,n,n,m,n,o
M,o,m,m,m,m,o,m,m,m,m
N,n,n,n,n,n,n,n,n,n,n
Q,n,n,n,n,n,n,n,n,n,n
P,n,n,n,n,n,n,n,n,n,n
RERI,n,n,n,n,n,n,n,n,n,n
RV32E,n,n,n,n,n,n,n,n,n,n
RV32I,m,n,n,n,n,m,n,n,n,n
RV64E,n,n,n,n,n,n,n,n,n,n
RV64I,n,m,m,m,m,o,m,m,m,m
S,n,n,m,n,m,?,n,m,n,m
Sddbltrp,n,n,n,n,n,n,n,?,n,?
Sdext,n,n,n,o,o,o,o,o,o,o
Sdtrig,n,n,n,o,o,o,o,o,o,o
Shcounterenw,n,n,n,n,i,n,n,i,n,i
Shgatpa,n,n,n,n,i,n,n,i,n,i
Shtvala,n,n,n,n,i,n,n,i,n,i
Shvsatpa,n,n,n,n,i,n,n,i,n,i
Shvstvala,n,n,n,n,i,n,n,i,n,i
Shvstvecd,n,n,n,n,i,n,n,i,n,i
Sm1p11,n,n,n,n,n,n,n,n,n,n
Sm1p12,n,n,n,n,n,n,n,n,n,n
Sm1p13,n,n,n,n,n,n,n,m,n,m
Smaia,n,n,n,n,n,n,n,n,n,n
Smclic,n,n,n,n,n,n,n,n,n,n
Smcdeleg,n,n,n,n,n,n,n,n,,
Smcntrpmf,n,n,n,n,n,n,n,n,,
Smcsrind,n,n,n,n,n,n,n,n,,
Smdbltrp,n,n,n,n,n,n,n,?,n,?
Smepmp,n,n,n,n,n,n,n,n,n,n
Smmpm,n,n,n,n,n,n,n,n,n,n
Smrntt,n,n,n,n,n,n,,,,
Smnpm,n,n,n,n,n,o,m,m,o,o
Smpmpmt,n,n,n,n,n,n,n,n,n,n
Smrnmi,n,n,n,n,n,n,n,n,n,n
Smstateen,n,n,n,n,o,n,n,o,n,o
Smctr,n,n,n,n,n,n,n,n,,n
Ss1p11,n,n,m,n,n,n,n,n,n,n
Ss1p12,n,n,n,n,m,n,n,m,n,m
Ss1p13,,n,n,n,n,n,n,n,m,n
Ssaia,n,n,n,n,n,n,n,n,n,n
Ssccfg,n,n,n,n,n,n,n,n,,
Ssccptr,n,n,m,n,m,n,n,m,n,m
Sscntrcfg,,,,,,,,,,
Sscofpmf,n,n,n,n,o,n,n,m,n,m
Sscounterenw,n,n,m,n,o,n,n,m,n,m
Sscsrind,n,n,n,n,n,n,n,n,,
Ssctr,n,n,n,n,n,n,n,n,n,n
Ssdbltrp,n,n,n,n,n,n,n,?,n,?
Ssdtso,n,n,n,n,n,o,?,?,?,?
