extension,RVI20,"RVA20 
(64 only) – U","RVA20 
(64 only) – S","RVA22 
(64 only) – U","RVA22 
(64 only) – S",RVI23 – U,RVA23 (64 only) – U,RVA23 (64 only) – S,RVB23 (64 only) – U,RVB23 (64 only) – S
A,True,True,True,True,True,True,True,True,True,True
B,False,False,False,True,True,True,True,True,True,True
C,True,True,True,True,True,True,True,True,True,True
D,True,True,True,True,True,True,True,True,True,True
F,True,True,True,True,True,True,True,True,True,True
H,False,False,False,False,True,False,False,True,False,True
M,True,True,True,True,True,True,True,True,True,True
N,False,False,False,False,False,False,False,False,False,False
Q,False,False,False,False,False,False,False,False,False,False
P,False,False,False,False,False,False,False,False,False,False
RERI,False,False,False,False,False,False,False,False,False,False
rv34_e,False,False,False,False,False,False,False,False,False,False
rv34_i,True,False,False,False,False,True,False,False,False,False
rv64_e,False,False,False,False,False,False,False,False,False,False
rv64_i,False,True,True,True,True,True,True,True,True,True
S,False,False,True,False,True,True,False,True,False,True
Sddbltrp,False,False,False,False,False,False,False,True,False,True
Sdext,False,False,False,True,True,True,True,True,True,True
Sdtrig,False,False,False,True,True,True,True,True,True,True
Shcounterenw,False,False,False,False,True,False,False,True,False,True
Shgatpa,False,False,False,False,True,False,False,True,False,True
Shtvala,False,False,False,False,True,False,False,True,False,True
Shvsatpa,False,False,False,False,True,False,False,True,False,True
Shvstvala,False,False,False,False,True,False,False,True,False,True
Shvstvecd,False,False,False,False,True,False,False,True,False,True
Sm1p11,False,False,False,False,False,False,False,False,False,False
Sm1p12,False,False,False,False,False,False,False,False,False,False
Sm1p13,False,False,False,False,False,False,False,True,False,True
Smaia,False,False,False,False,False,False,False,False,False,False
Smclic,False,False,False,False,False,False,False,False,False,False
Smcdeleg,False,False,False,False,False,False,False,False,True,True
Smcntrpmf,False,False,False,False,False,False,False,False,True,True
Smcsrind,False,False,False,False,False,False,False,False,True,True
Smdbltrp,False,False,False,False,False,False,False,True,False,True
Smepmp,False,False,False,False,False,False,False,False,False,False
Smmpm,False,False,False,False,False,False,False,False,False,False
Smrntt,False,False,False,False,False,False,True,True,True,True
Smnpm,False,False,False,False,False,True,True,True,True,True
